Angle (deg),Magnitude (dB),Phase (deg)
85.1,-6.67873,-149.827
85.2,-6.57292,-150.116
85.3,-6.46591,-150.41
85.4,-6.35767,-150.711
85.5,-6.2482,-151.019
85.6,-6.13748,-151.334
85.7,-6.02547,-151.656
85.8,-5.91218,-151.985
85.9,-5.79758,-152.323
86.0,-5.68165,-152.669
86.1,-5.56437,-153.023
86.2,-5.44574,-153.386
86.3,-5.32573,-153.759
86.4,-5.20433,-154.141
86.5,-5.08152,-154.534
86.6,-4.9573,-154.937
86.7,-4.83164,-155.351
86.8,-4.70454,-155.776
86.9,-4.57599,-156.214
87.0,-4.44598,-156.664
87.1,-4.31449,-157.128
87.2,-4.18154,-157.605
87.3,-4.04711,-158.097
87.4,-3.91121,-158.603
87.5,-3.77383,-159.125
87.6,-3.63499,-159.664
87.7,-3.49469,-160.22
87.8,-3.35296,-160.793
87.9,-3.2098,-161.386
88.0,-3.06525,-161.998
88.1,-2.91932,-162.631
88.2,-2.77207,-163.285
88.3,-2.62354,-163.961
88.4,-2.47377,-164.661
88.5,-2.32283,-165.386
88.6,-2.17078,-166.136
88.7,-2.01772,-166.912
88.8,-1.86373,-167.717
88.9,-1.70893,-168.55
89.0,-1.55342,-169.414
89.1,-1.39736,-170.31
89.2,-1.24089,-171.238
89.3,-1.0842,-172.2
89.4,-0.92746,-173.198
89.5,-0.770902,-174.233
89.6,-0.614759,-175.305
89.7,-0.459295,-176.417
89.8,-0.304799,-177.57
89.9,-0.151586,-178.763
90.0,-4.82164e-15,-180.0
