Angle (deg),Magnitude (dB),Phase (deg)
72.7,-11.0972,-154.318
72.8,-13.8323,-170.396
72.9,-14.6035,158.708
73.0,-12.1666,135.16
73.1,-9.35148,126.707
73.2,-7.16809,125.459
73.3,-5.56556,127.067
73.4,-4.38955,129.746
73.5,-3.5178,132.731
73.6,-2.86348,135.681
73.7,-2.36584,138.451
73.8,-1.98229,140.99
73.9,-1.68279,143.289
74.0,-1.44597,145.36
74.1,-1.25646,147.223
74.2,-1.10309,148.9
74.3,-0.977671,150.414
74.4,-0.874088,151.785
74.5,-0.78776,153.03
74.6,-0.715202,154.164
74.7,-0.653734,155.202
74.8,-0.601278,156.155
74.9,-0.556206,157.033
75.0,-0.517229,157.844
75.1,-0.48332,158.596
75.2,-0.453654,159.296
75.3,-0.427562,159.948
75.4,-0.404498,160.559
75.5,-0.384013,161.132
75.6,-0.365737,161.67
75.7,-0.349361,162.177
75.8,-0.334628,162.656
75.9,-0.321321,163.11
76.0,-0.309257,163.54
76.1,-0.298279,163.948
76.2,-0.288256,164.337
76.3,-0.279074,164.708
76.4,-0.270635,165.062
76.5,-0.262854,165.401
76.6,-0.255658,165.726
76.7,-0.248984,166.037
76.8,-0.242777,166.336
76.9,-0.236987,166.623
77.0,-0.231572,166.9
77.1,-0.226495,167.167
77.2,-0.221722,167.424
77.3,-0.217225,167.673
77.4,-0.212976,167.913
77.5,-0.208953,168.146
77.6,-0.205136,168.372
77.7,-0.201506,168.59
77.8,-0.198045,168.802
77.9,-0.194741,169.008
78.0,-0.191578,169.208
78.1,-0.188546,169.403
78.2,-0.185633,169.592
78.3,-0.182829,169.777
78.4,-0.180127,169.957
78.5,-0.177517,170.132
78.6,-0.174992,170.303
78.7,-0.172546,170.47
78.8,-0.170173,170.633
78.9,-0.167867,170.793
79.0,-0.165623,170.948
79.1,-0.163437,171.101
79.2,-0.161304,171.25
79.3,-0.159221,171.396
79.4,-0.157183,171.539
79.5,-0.155188,171.68
79.6,-0.153233,171.817
79.7,-0.151314,171.952
79.8,-0.14943,172.084
79.9,-0.147578,172.214
80.0,-0.145756,172.342
80.1,-0.143961,172.467
80.2,-0.142192,172.59
80.3,-0.140447,172.711
80.4,-0.138725,172.83
80.5,-0.137024,172.947
80.6,-0.135342,173.063
80.7,-0.133679,173.176
80.8,-0.132033,173.287
80.9,-0.130404,173.397
81.0,-0.128789,173.506
81.1,-0.127188,173.612
81.2,-0.125601,173.717
81.3,-0.124026,173.821
81.4,-0.122462,173.923
81.5,-0.120909,174.024
81.6,-0.119367,174.123
81.7,-0.117834,174.221
81.8,-0.116309,174.318
81.9,-0.114794,174.413
82.0,-0.113286,174.507
82.1,-0.111785,174.6
82.2,-0.110291,174.692
82.3,-0.108804,174.783
82.4,-0.107322,174.873
82.5,-0.105847,174.962
82.6,-0.104376,175.049
82.7,-0.102911,175.136
82.8,-0.10145,175.222
82.9,-0.0999934,175.307
83.0,-0.0985409,175.39
83.1,-0.0970923,175.473
83.2,-0.0956472,175.556
83.3,-0.0942054,175.637
83.4,-0.0927667,175.717
83.5,-0.0913309,175.797
83.6,-0.0898978,175.876
83.7,-0.0884673,175.954
83.8,-0.0870391,176.032
83.9,-0.0856131,176.108
84.0,-0.0841891,176.184
84.1,-0.0827671,176.26
84.2,-0.0813468,176.334
84.3,-0.0799282,176.408
84.4,-0.0785111,176.482
84.5,-0.0770954,176.555
84.6,-0.075681,176.627
84.7,-0.0742679,176.698
84.8,-0.0728559,176.77
84.9,-0.071445,176.84
85.0,-0.070035,176.91
85.1,-0.0686259,176.98
85.2,-0.0672176,177.049
85.3,-0.0658101,177.117
85.4,-0.0644033,177.185
85.5,-0.0629971,177.253
85.6,-0.0615916,177.32
85.7,-0.0601865,177.387
85.8,-0.058782,177.453
85.9,-0.0573779,177.519
86.0,-0.0559743,177.584
86.1,-0.054571,177.649
86.2,-0.0531681,177.714
86.3,-0.0517655,177.779
86.4,-0.0503632,177.843
86.5,-0.0489611,177.906
86.6,-0.0475593,177.97
86.7,-0.0461578,178.033
86.8,-0.0447564,178.095
86.9,-0.0433552,178.158
87.0,-0.0419543,178.22
87.1,-0.0405534,178.282
87.2,-0.0391528,178.343
87.3,-0.0377523,178.405
87.4,-0.0363519,178.466
87.5,-0.0349517,178.527
87.6,-0.0335516,178.587
87.7,-0.0321516,178.648
87.8,-0.0307518,178.708
87.9,-0.0293521,178.768
88.0,-0.0279525,178.828
88.1,-0.026553,178.888
88.2,-0.0251537,178.947
88.3,-0.0237546,179.007
88.4,-0.0223556,179.066
88.5,-0.0209567,179.125
88.6,-0.019558,179.184
88.7,-0.0181595,179.243
88.8,-0.0167612,179.301
88.9,-0.015363,179.36
89.0,-0.0139651,179.418
89.1,-0.0125674,179.477
89.2,-0.0111699,179.535
89.3,-0.00977263,179.593
89.4,-0.00837564,179.652
89.5,-0.00697893,179.71
89.6,-0.0055825,179.768
89.7,-0.00418637,179.826
89.8,-0.00279057,179.884
89.9,-0.00139511,179.942
90.0,-250.0,
