Angle (deg),Magnitude (dB),Phase (deg)
87.9,-1.68227,-169.442
88.0,-1.60433,-169.856
88.1,-1.526,-170.277
88.2,-1.44729,-170.707
88.3,-1.36823,-171.144
88.4,-1.28885,-171.59
88.5,-1.20916,-172.045
88.6,-1.1292,-172.508
88.7,-1.04899,-172.979
88.8,-0.968563,-173.46
88.9,-0.887951,-173.95
89.0,-0.807188,-174.45
89.1,-0.726309,-174.959
89.2,-0.64535,-175.477
89.3,-0.564351,-176.006
89.4,-0.483355,-176.545
89.5,-0.402403,-177.094
89.6,-0.321543,-177.654
89.7,-0.240821,-178.224
89.8,-0.160288,-178.805
89.9,-0.0799958,-179.397
90.0,-1.92865e-15,-180.0
