Angle (deg),Magnitude (dB),Phase (deg)
81.4,-0.923522,-173.631
81.5,-0.918038,-173.671
81.6,-0.912427,-173.712
81.7,-0.906688,-173.754
81.8,-0.90082,-173.796
81.9,-0.894821,-173.84
82.0,-0.888692,-173.885
82.1,-0.882429,-173.93
82.2,-0.876033,-173.977
82.3,-0.869503,-174.025
82.4,-0.862838,-174.073
82.5,-0.856036,-174.123
82.6,-0.849097,-174.173
82.7,-0.84202,-174.225
82.8,-0.834805,-174.277
82.9,-0.827451,-174.33
83.0,-0.819957,-174.385
83.1,-0.812323,-174.44
83.2,-0.804549,-174.496
83.3,-0.796633,-174.553
83.4,-0.788576,-174.61
83.5,-0.780378,-174.669
83.6,-0.772039,-174.729
83.7,-0.763558,-174.789
83.8,-0.754935,-174.85
83.9,-0.746171,-174.913
84.0,-0.737265,-174.976
84.1,-0.728218,-175.039
84.2,-0.71903,-175.104
84.3,-0.709702,-175.17
84.4,-0.700234,-175.236
84.5,-0.690626,-175.303
84.6,-0.68088,-175.371
84.7,-0.670995,-175.44
84.8,-0.660973,-175.509
84.9,-0.650815,-175.579
85.0,-0.640522,-175.65
85.1,-0.630094,-175.722
85.2,-0.619533,-175.795
85.3,-0.60884,-175.868
85.4,-0.598016,-175.942
85.5,-0.587063,-176.017
85.6,-0.575983,-176.092
85.7,-0.564776,-176.168
85.8,-0.553445,-176.245
85.9,-0.541991,-176.323
86.0,-0.530416,-176.401
86.1,-0.518722,-176.48
86.2,-0.506912,-176.559
86.3,-0.494987,-176.64
86.4,-0.482949,-176.72
86.5,-0.470801,-176.802
86.6,-0.458545,-176.884
86.7,-0.446184,-176.967
86.8,-0.43372,-177.05
86.9,-0.421156,-177.134
87.0,-0.408494,-177.219
87.1,-0.395738,-177.304
87.2,-0.38289,-177.39
87.3,-0.369953,-177.477
87.4,-0.356931,-177.564
87.5,-0.343826,-177.651
87.6,-0.330641,-177.739
87.7,-0.317381,-177.828
87.8,-0.304048,-177.917
87.9,-0.290646,-178.007
88.0,-0.277178,-178.097
88.1,-0.263648,-178.188
88.2,-0.250059,-178.28
88.3,-0.236416,-178.371
88.4,-0.222722,-178.464
88.5,-0.20898,-178.557
88.6,-0.195196,-178.65
88.7,-0.181372,-178.744
88.8,-0.167513,-178.838
88.9,-0.153624,-178.932
89.0,-0.139707,-179.027
89.1,-0.125767,-179.123
89.2,-0.111809,-179.219
89.3,-0.0978369,-179.315
89.4,-0.0838548,-179.412
89.5,-0.069867,-179.509
89.6,-0.0558782,-179.607
89.7,-0.0418926,-179.704
89.8,-0.0279147,-179.803
89.9,-0.013949,-179.901
90.0,0.0,-180.0
