Angle (deg),Magnitude (dB),Phase (deg)
79.6,-0.287939,179.306
79.7,-0.2852,179.313
79.8,-0.282461,179.319
79.9,-0.279721,179.326
80.0,-0.27698,179.333
80.1,-0.274238,179.339
80.2,-0.271495,179.346
80.3,-0.268752,179.352
80.4,-0.266007,179.359
80.5,-0.263262,179.366
80.6,-0.260516,179.372
80.7,-0.257769,179.379
80.8,-0.255021,179.385
80.9,-0.252273,179.392
81.0,-0.249524,179.399
81.1,-0.246774,179.405
81.2,-0.244023,179.412
81.3,-0.241272,179.419
81.4,-0.23852,179.425
81.5,-0.235767,179.432
81.6,-0.233014,179.439
81.7,-0.230259,179.445
81.8,-0.227504,179.452
81.9,-0.224748,179.458
82.0,-0.221992,179.465
82.1,-0.219235,179.472
82.2,-0.216477,179.478
82.3,-0.213719,179.485
82.4,-0.210959,179.492
82.5,-0.2082,179.498
82.6,-0.20544,179.505
82.7,-0.202678,179.512
82.8,-0.199917,179.518
82.9,-0.197155,179.525
83.0,-0.194392,179.532
83.1,-0.191629,179.538
83.2,-0.188864,179.545
83.3,-0.1861,179.552
83.4,-0.183335,179.558
83.5,-0.180569,179.565
83.6,-0.177803,179.572
83.7,-0.175036,179.578
83.8,-0.172268,179.585
83.9,-0.169501,179.592
84.0,-0.166732,179.598
84.1,-0.163963,179.605
84.2,-0.161194,179.612
84.3,-0.158424,179.618
84.4,-0.155654,179.625
84.5,-0.152883,179.632
84.6,-0.150111,179.638
84.7,-0.147339,179.645
84.8,-0.144567,179.652
84.9,-0.141795,179.658
85.0,-0.139022,179.665
85.1,-0.136248,179.672
85.2,-0.133474,179.678
85.3,-0.1307,179.685
85.4,-0.127925,179.692
85.5,-0.12515,179.698
85.6,-0.122374,179.705
85.7,-0.119598,179.712
85.8,-0.116822,179.718
85.9,-0.114045,179.725
86.0,-0.111268,179.732
86.1,-0.108491,179.739
86.2,-0.105713,179.745
86.3,-0.102935,179.752
86.4,-0.100157,179.759
86.5,-0.0973784,179.765
86.6,-0.0945997,179.772
86.7,-0.0918203,179.779
86.8,-0.0890407,179.785
86.9,-0.0862612,179.792
87.0,-0.0834811,179.799
87.1,-0.0807008,179.806
87.2,-0.0779201,179.812
87.3,-0.0751395,179.819
87.4,-0.0723585,179.826
87.5,-0.0695773,179.832
87.6,-0.066796,179.839
87.7,-0.0640142,179.846
87.8,-0.0612323,179.852
87.9,-0.0584505,179.859
88.0,-0.0556683,179.866
88.1,-0.0528859,179.873
88.2,-0.0501033,179.879
88.3,-0.0473206,179.886
88.4,-0.0445378,179.893
88.5,-0.041755,179.899
88.6,-0.0389719,179.906
88.7,-0.0361885,179.913
88.8,-0.0334053,179.919
88.9,-0.0306219,179.926
89.0,-0.0278384,179.933
89.1,-0.0250549,179.94
89.2,-0.022271,179.946
89.3,-0.0194873,179.953
89.4,-0.0167035,179.96
89.5,-0.0139198,179.966
89.6,-0.0111359,179.973
89.7,-0.00835171,179.98
89.8,-0.00556793,179.987
89.9,-0.00278393,179.993
90.0,6.97242e-08,-180.0
